City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,al bawiti,28.3492,28.8659,11.73,86,0,2.88,EG,1733111736
117,sandnessjoen,66.0217,12.6316,2.1,90,100,20.31,NO,1733111737
118,vorgashor,67.5833,63.95,-9.97,95,100,7.38,RU,1733111738
119,dudinka,69.4058,86.1778,-9.49,90,100,9.5,RU,1733111739
120,sarandi,-23.4436,-51.8739,24.75,83,0,2.57,BR,1733111740
121,luuq,3.7938,42.5445,24.74,52,67,3.79,SO,1733111741
122,wewak,-3.5534,143.6268,25.75,92,100,1.24,PG,1733111742
123,grande prairie,55.1667,-118.8027,-18.9,84,75,1.54,CA,1733111715
124,urucara,-2.5364,-57.76,26.79,61,6,1.51,BR,1733111745
125,chernyshevskiy,63.0128,112.4714,-32.11,98,43,1.12,RU,1733111746
126,kodiak,57.79,-152.4072,0.73,86,100,4.63,US,1733111747
127,duong dong,10.2167,103.9667,31.0,66,40,3.6,VN,1733111748
128,tomatlan,19.9333,-105.25,20.38,89,0,1.5,MX,1733111749
129,rio grande,-32.035,-52.0986,21.34,91,100,10.87,BR,1733111750
130,sao joao da barra,-21.6403,-41.0511,23.32,93,21,2.79,BR,1733111751
131,brokopondo,4.75,-55.1667,24.71,89,98,4.16,SR,1733111753
132,panadura,6.7132,79.9026,28.05,73,64,5.07,LK,1733111754
133,ardestan,33.3761,52.3694,3.01,54,0,0.67,IR,1733111755
134,moussoro,13.6408,16.4901,16.95,30,31,4.63,TD,1733111756
135,gereida,11.2811,25.1414,14.72,27,44,4.47,SD,1733111757
136,saipan,15.1355,145.701,31.39,76,40,6.69,MP,1733111758
137,wailua homesteads,22.0669,-159.378,24.44,79,20,4.12,US,1733111761
138,matoury,4.8483,-52.3317,24.98,94,100,1.54,GF,1733111762
139,itaituba,-4.2761,-55.9836,28.01,58,96,0.83,BR,1733111763
140,dolores,-36.3132,-57.6792,10.25,86,0,7.72,AR,1733111764
141,pandan,14.0453,124.1694,29.06,78,76,2.05,PH,1733111765
142,grand falls-windsor,48.9332,-55.6649,-0.28,76,5,1.34,CA,1733111766
143,mount pearl,47.5166,-52.7813,1.29,93,75,5.66,CA,1733111767
144,aykhal,66.0,111.5,-27.72,85,78,3.7,RU,1733111768
145,oranjemund,-28.55,16.4333,14.96,94,40,5.32,NA,1733111770
146,jamestown,42.097,-79.2353,-4.99,92,100,6.17,US,1733111772
147,flying fish cove,-10.4217,105.6791,28.12,73,87,2.59,CX,1733111773
148,san antonio de pale,-1.4014,5.6325,25.92,82,97,2.36,GQ,1733111774
149,luchegorsk,46.4764,134.2569,-5.37,91,100,4.62,RU,1733111776
150,fort st. john,56.2499,-120.8529,-20.06,77,100,4.63,CA,1733111777
151,chandler,33.3062,-111.8412,18.82,36,0,1.54,US,1733111577
152,st. john's,47.5649,-52.7093,1.75,92,75,5.66,CA,1733111519
153,payson,40.0444,-111.7321,1.13,58,0,1.54,US,1733111780
154,quellon,-43.1167,-73.6167,8.71,72,67,4.9,CL,1733111781
155,vorkuta,67.5,64.0,-10.03,95,100,7.55,RU,1733111782
156,avarua,-21.2078,-159.775,25.03,83,40,4.12,CK,1733111783
157,santana,-0.0583,-51.1817,27.1,83,0,3.09,BR,1733111785
158,gadzhiyevo,69.2551,33.3362,-4.18,96,100,4.06,RU,1733111786
159,oxford,51.7522,-1.256,10.92,92,75,3.6,GB,1733111787
160,naze,28.3667,129.4833,21.51,53,20,2.81,JP,1733111788
161,chonchi,-42.6128,-73.8092,7.29,69,54,2.06,CL,1733111789
162,kavarna,43.4333,28.3333,7.84,78,100,6.89,BG,1733111790
163,broome,42.2506,-75.833,-3.59,75,40,4.12,US,1733111791
164,bonito,-21.1211,-56.4819,27.78,59,3,3.77,BR,1733111792
165,agadez,19.75,10.25,13.5,30,6,3.49,NE,1733111794
166,kaohsiung,22.6163,120.3133,26.97,64,20,4.12,TW,1733111593
167,hualien city,23.9769,121.6044,22.88,72,47,2.15,TW,1733111797
168,illela,13.7292,5.2975,18.47,23,10,4.47,NG,1733111798
169,sinabang,2.4803,96.3801,25.41,84,100,0.62,ID,1733111799
170,rumoi,43.9344,141.6428,4.08,73,99,2.48,JP,1733111801
171,kapuskasing,49.4169,-82.4331,-2.95,100,100,4.12,CA,1733111803
172,liman,48.9884,37.8023,-2.49,88,90,1.27,UA,1733111804
173,tallulah,32.4085,-91.1868,7.0,65,0,2.06,US,1733111805
174,mount gambier,-37.8333,140.7667,30.65,21,100,3.6,AU,1733111806
175,taghazout,30.5426,-9.7112,20.9,39,18,3.57,MA,1733111807
176,tataouine,32.9297,10.4518,11.31,72,0,1.25,TN,1733111809
177,atafu village,-8.5421,-172.5159,28.76,73,21,6.27,TK,1733111810
178,placido de castro,-10.3353,-67.1856,24.72,83,100,1.21,BR,1733111811
179,huntsville,34.7304,-86.5861,3.15,79,0,2.24,US,1733111812
180,badger,64.8,-147.5333,-32.07,73,0,0.0,US,1733111813
181,crossett,33.1282,-91.9612,4.49,76,0,2.28,US,1733111814
182,talcahuano,-36.7167,-73.1167,12.82,76,0,4.63,CL,1733111815
183,isangel,-19.55,169.2667,30.06,79,75,3.6,VU,1733111816
184,fuling,29.7022,107.3919,16.25,58,0,1.36,CN,1733111818
185,huaidian,33.4333,115.0333,13.58,32,0,6.16,CN,1733111819
186,coronel dorrego,-38.7187,-61.2873,11.04,73,32,7.59,AR,1733111820
187,gondar,12.6,37.4667,12.73,73,80,2.1,ET,1733111821
188,sechura,-5.5569,-80.8222,20.07,83,22,5.26,PE,1733111822
189,khedbrahma,24.0333,73.05,22.48,29,0,2.72,IN,1733111823
190,muleshoe,34.2265,-102.7238,5.4,57,11,3.54,US,1733111824
191,nouadhibou,20.931,-17.0347,20.99,46,73,4.12,MR,1733111825
192,malpura,26.2833,75.3833,21.19,29,0,2.15,IN,1733111827
193,invercargill,-46.4,168.35,17.79,75,100,2.68,NZ,1733111828
194,olovyannaya,50.95,115.5667,-20.1,79,20,2.5,RU,1733111829
195,illizi,26.4833,8.4667,13.39,32,74,2.32,DZ,1733111830
196,hermanus,-34.4187,19.2345,17.04,81,37,1.65,ZA,1733111831
197,arraial do cabo,-22.9661,-42.0278,23.09,92,4,8.95,BR,1733111832
198,kincardine,56.0667,-3.7167,7.26,92,100,4.67,GB,1733111833
199,llorente,11.4119,125.5458,29.06,77,71,3.39,PH,1733111835
200,anadyr,64.75,177.4833,-7.72,93,100,5.0,RU,1733111836
201,las palmas,28.4204,-14.0131,17.44,32,0,2.57,ES,1733111837
202,dunedin,-45.8742,170.5036,17.11,74,100,2.24,NZ,1733111672
203,hami,42.8,93.45,0.2,56,100,2.72,CN,1733111839
204,oltinko'l,40.8011,72.1634,5.32,65,4,1.0,UZ,1733111840
205,ciudad lazaro cardenas,17.9583,-102.2,24.24,87,0,1.4,MX,1733111841
206,college,64.8569,-147.8028,-32.03,68,0,0.0,US,1733111843
207,igarka,67.4667,86.5833,-9.52,93,100,8.38,RU,1733111844
208,santa marta,11.2408,-74.199,28.83,73,40,6.26,CO,1733111266
209,horta,38.5333,-28.6333,18.34,91,73,2.68,PT,1733111846
210,saudarkrokur,65.7461,-19.6394,-14.88,88,54,4.5,IS,1733111847
211,ambalangoda,6.2355,80.0538,28.88,72,52,5.89,LK,1733111848
212,cabo san lucas,22.8909,-109.9124,22.64,90,0,2.54,MX,1733111569
213,ratnagiri,16.9833,73.3,28.12,55,100,0.88,IN,1733111850
214,changleng,28.7,115.8167,20.56,36,4,1.39,CN,1733111852
215,ancud,-41.8697,-73.8203,7.5,76,11,3.3,CL,1733111853
216,zaozersk,69.4005,32.4476,-5.04,96,100,2.58,RU,1733111854
217,kayangel,8.0823,134.7173,29.33,76,85,8.36,PW,1733111855
218,grantsville,40.5999,-112.4644,0.91,91,0,2.06,US,1733111856
219,sisimiut,66.9395,-53.6735,-9.22,70,100,4.5,GL,1733111857
220,haiku-pauwela,20.9219,-156.3051,24.03,79,34,4.92,US,1733111858
221,sipalay,9.75,122.5,29.66,74,79,1.83,PH,1733111861
222,pinhao,-25.6956,-51.6597,18.16,86,45,1.41,BR,1733111862
223,san patricio,28.017,-97.5169,17.53,84,100,4.34,US,1733111863
224,lakatoro,-16.0999,167.4164,28.77,71,8,4.04,VU,1733111864
225,lata,40.1629,-8.3327,11.89,86,100,1.05,PT,1733111865
226,daru,-9.0763,143.2092,29.37,76,100,1.64,PG,1733111866
227,fort mcmurray,56.7268,-111.381,-20.23,77,100,2.57,CA,1733111867
228,ixtapa,20.7,-105.2,23.46,84,1,1.28,MX,1733111869
229,rajanpur,29.1035,70.325,22.37,29,20,2.84,PK,1733111870
230,port-gentil,-0.7193,8.7815,26.91,80,70,3.05,GA,1733111871
231,klaksvik,62.2266,-6.589,-0.44,74,100,12.08,FO,1733111872
232,am timan,11.0297,20.2827,18.92,23,37,2.82,TD,1733111873
